Frame,MSE
0,0
1,0.009370298
2,0.01748509
3,0.01680509
4,0.01695423
5,0.01188229
6,0.01273587
7,0.01432097
8,0.01056337
9,0.008082435
10,0.007309817
11,0.007961228
12,0.006740996
13,0.006979815
14,0.006795126
15,0.005642692
16,0.005750886
17,0.005794736
18,0.005621568
19,0.005584305
20,0.005595137
21,0.005608195
22,0.005355102
23,0.00519928
24,0.005312925
25,0.005211791
26,0.005105963
27,0.005247692
28,0.005015512
29,0.004990233
30,0.004923827
31,0.005163422
32,0.005020869
33,0.004984636
34,0.004828673
35,0.004854229
36,0.004824627
37,0.003745415
38,0.004000732
39,0.005526255
40,0.005613653
41,0.005469426
42,0.005684411
43,0.004915605
44,0.005080103
45,0.004116982
46,0.003634719
47,0.003693709
48,0.003688469
49,0.003668921
50,0.003155246
51,0.002996123
52,0.003269254
53,0.003115522
54,0.003270342
55,0.003081001
56,0.003106893
57,0.002804988
58,0.002818883
59,0.00272298
60,0.002592556
61,0.003061889
62,0.002914594
63,0.002810452
64,0.002596094
65,0.002590147
66,0.00255243
67,0.002462587
68,0.002528152
69,0.002519056
70,0.002530153
71,0.002873045
72,0.002864502
73,0.003194472
74,0.002949226
75,0.003016375
76,0.003120988
77,0.00316787
78,0.003119752
79,0.003223257
80,0.003153238
81,0.00323138
82,0.003216473
83,0.002878239
84,0.001892383
85,0.001626526
86,0.001531056
87,0.002321567
88,0.002515258
89,0.001518179
90,0.001514207
91,0.001401104
92,0.001366688
93,0.001373568
94,0.001282471
95,0.001302643
96,0.001254395
97,0.001319748
98,0.001383841
99,0.001432068
100,0.001130399
101,0.001081576
102,0.001064839
103,0.004764732
104,0.005314849
105,0.00501963
106,0.004372017
107,0.005096027
108,0.004807282
109,0.004959482
110,0.004497313
111,0.004687976
112,0.00490472
113,0.003779593
114,0.003210912
115,0.005744749
116,0.006032312
117,0.007439866
118,0.008525972
119,0.007953174
120,0.005550083
121,0.005208946
122,0.00591212
123,0.005839684
124,0.004167886
125,0.0041533
126,0.004359176
127,0.004144885
128,0.004417063
129,0.004549488
130,0.005804189
131,0.00595607
132,0.004942373
133,0.005159406
134,0.005788322
135,0.005210413
136,0.005276637
137,0.005043505
138,0.006047198
139,0.006976059
140,0.007252485
141,0.008879025
142,0.009214436
143,0.008967958
144,0.005532899
145,0.004932037
146,0.004904205
147,0.004708465
148,0.005030562
149,0.005086191
150,0.005759285
151,0.007268311
152,0.006932246
153,0.005828036
154,0.007102169
155,0.008811808
156,0.006653741
157,0.005881489
158,0.004268066
159,0.004251879
160,0.003537141
161,0.003873877
162,0.004476524
163,0.004002711
164,0.004018901
165,0.003434161
166,0.003298974
167,0.003577352
168,0.003228134
169,0.003235018
170,0.003342414
171,0.003247818
172,0.003107754
173,0.003531444
174,0.003400647
175,0.003663776
176,0.00359065
177,0.003639699
178,0.003477752
179,0.003483884
180,0.00392212
181,0.004130903
182,0.003596551
183,0.00346515
184,0.003828497
185,0.003910638
186,0.003625895
187,0.003273139
188,0.003075333
189,0.002770582
190,0.002928415
191,0.003724056
192,0.003806539
193,0.003992964
194,0.003906049
195,0.004068996
196,0.003054344
197,0.002095561
198,0.002132125
199,0.001971838
200,0.001967691
201,0.00195361
202,0.001781177
203,0.001693629
204,0.001717492
205,0.001658787
206,0.001623404
207,0.001890765
208,0.001644826
209,0.00160743
210,0.001790283
211,0.00194249
212,0.002150458
213,0.00202376
214,0.001965163
215,0.002143811
216,0.001842854
217,0.00185654
218,0.001607071
219,0.001934362
220,0.002722093
221,0.002360618
222,0.00199845
223,0.001847456
224,0.001790022
225,0.001746196
226,0.001719065
227,0.001680406
228,0.001620541
229,0.001697826
230,0.001702234
231,0.001657405
232,0.001839125
233,0.001913274
234,0.002052225
235,0.002468977
236,0.002373585
237,0.002394521
238,0.002012627
239,0.00253535
240,0.002338083
241,0.00205433
242,0.001965767
243,0.001946103
244,0.001978349
245,0.001934636
246,0.002041923
247,0.00203744
248,0.002395405
249,0.002651876
250,0.002706072
251,0.002374829
252,0.002219671
253,0.002749254
254,0.002385386
255,0.002305213
256,0.00247522
257,0.002124582
258,0.00209499
259,0.002175581
260,0.002042314
261,0.002138108
262,0.002284769
263,0.002699288
264,0.002702025
265,0.00226827
266,0.002220538
267,0.00238097
268,0.002482963
269,0.002612663
270,0.002186354
